symptom1,symptom2,symptom3,symptom4,OTC Medicine
Toothache,Insomnia,Allergic rash,Hay fever,Calamine lotion
Allergic rash,Dry skin,Sinus pressure,Common cold,Antihistamine (Claritin)
Muscle pain,Insomnia,Fever,Common cold,Ibuprofen
Common cold,Dry skin,Acid reflux,Diarrhea,Hydrocortisone cream
Dry skin,Nausea,Fever,Acid reflux,Ibuprofen
Hay fever,Dry skin,Menstrual cramps,Toothache,Antihistamine (Claritin)
Cough,Dizziness,Dry skin,Insomnia,Cold-EEZE
Insomnia,Muscle pain,Diarrhea,Allergic rash,Antihistamine (Benadryl)
Muscle pain,Nausea,Diarrhea,Fever,Ginger supplements
Menstrual cramps,Dry skin,Heartburn,Hangover,Ginger supplements
Dizziness,Runny nose,Hay fever,Heartburn,Antacid (Tums)
Headache,Hangover,Dry cough,Muscle pain,Dextromethorphan
Heartburn,Allergic rash,Cough,Headache,Proton Pump Inhibitor (Omeprazole)
Insomnia,Fever,Runny nose,Menstrual cramps,Melatonin
Menstrual cramps,Sinus pressure,Heartburn,Dry cough,Guaifenesin
Muscle pain,Heartburn,Fever,Toothache,Antacid (Rolaids)
Diarrhea,Muscle pain,Heartburn,Cough,Bismuth subsalicylate
Allergic rash,Insomnia,Heartburn,Menstrual cramps,Paracetamol
Fever,Sinus pressure,Nausea,Cough,Cold-EEZE
Insomnia,Nausea,Headache,Dry cough,Cold-EEZE
Nausea,Toothache,Headache,Dry cough,Dimenhydrinate
Diarrhea,Headache,Dizziness,Toothache,Cold-EEZE
Headache,Fever,Sinus pressure,Hangover,Aspirin
Nausea,Diarrhea,Acid reflux,Common cold,Bismuth subsalicylate
Hay fever,Insomnia,Dry cough,Menstrual cramps,Nasal spray (Flonase)
Menstrual cramps,Cough,Dry cough,Diarrhea,Electrolyte solution (Pedialyte)
Insomnia,Allergic rash,Diarrhea,Runny nose,Valerian root
Dry skin,Hangover,Dizziness,Nausea,Petroleum jelly
Cough,Allergic rash,Headache,Hangover,Pseudoephedrine
Fever,Heartburn,Common cold,Dizziness,Ginger supplements
Dizziness,Common cold,Acid reflux,Fever,Ginger supplements
Dizziness,Muscle pain,Acid reflux,Insomnia,Proton Pump Inhibitor (Omeprazole)
Heartburn,Acid reflux,Toothache,Allergic rash,Paracetamol
Dry skin,Toothache,Hangover,Dizziness,Dimenhydrinate
Muscle pain,Allergic rash,Toothache,Heartburn,Cold-EEZE
Diarrhea,Toothache,Cough,Dry skin,Orajel
Menstrual cramps,Allergic rash,Muscle pain,Headache,Antihistamine (Claritin)
Runny nose,Acid reflux,Fever,Diarrhea,Pseudoephedrine
Fever,Acid reflux,Dry cough,Menstrual cramps,Aspirin
Muscle pain,Heartburn,Headache,Diarrhea,Antacid (Rolaids)
Headache,Dry cough,Muscle pain,Fever,Aspirin
Diarrhea,Heartburn,Cough,Muscle pain,Proton Pump Inhibitor (Omeprazole)
Dry skin,Cough,Dry cough,Fever,Electrolyte solution (Pedialyte)
Muscle pain,Heartburn,Hay fever,Menstrual cramps,Antihistamine (Claritin)
Allergic rash,Heartburn,Nausea,Hangover,Antihistamine (Benadryl)
Heartburn,Hangover,Acid reflux,Cough,Pseudoephedrine
Common cold,Nausea,Dry cough,Heartburn,Honey
Dry cough,Muscle pain,Acid reflux,Heartburn,Honey
Hay fever,Sinus pressure,Dizziness,Dry cough,Ibuprofen
Diarrhea,Hangover,Allergic rash,Sinus pressure,Calamine lotion
Sinus pressure,Dry cough,Allergic rash,Headache,Ibuprofen
Dry cough,Menstrual cramps,Allergic rash,Sinus pressure,Saline nasal spray
Diarrhea,Hay fever,Dry skin,Sinus pressure,Hydrocortisone cream
Sinus pressure,Headache,Menstrual cramps,Dizziness,Ginger supplements
Nausea,Common cold,Diarrhea,Cough,Ibuprofen
Dry cough,Common cold,Acid reflux,Heartburn,Proton Pump Inhibitor (Omeprazole)
Muscle pain,Sinus pressure,Runny nose,Dry skin,Paracetamol
Allergic rash,Headache,Insomnia,Acid reflux,Valerian root
Insomnia,Muscle pain,Sinus pressure,Hangover,Pseudoephedrine
Menstrual cramps,Dry cough,Headache,Diarrhea,Cold-EEZE
Allergic rash,Menstrual cramps,Headache,Insomnia,Lavender oil
Muscle pain,Toothache,Diarrhea,Heartburn,Loperamide
Diarrhea,Menstrual cramps,Common cold,Toothache,Paracetamol
Diarrhea,Runny nose,Heartburn,Dizziness,Ginger supplements
Insomnia,Muscle pain,Nausea,Toothache,Orajel
Toothache,Dry cough,Common cold,Sinus pressure,Aspirin
Dry skin,Hay fever,Nausea,Insomnia,Electrolyte solution (Pedialyte)
Acid reflux,Headache,Muscle pain,Dry cough,Bismuth subsalicylate
Dry skin,Insomnia,Dry cough,Heartburn,Aloe vera gel
Insomnia,Headache,Runny nose,Acid reflux,Valerian root
Dry cough,Allergic rash,Cough,Sinus pressure,Dextromethorphan
Headache,Hangover,Fever,Sinus pressure,Ibuprofen
Common cold,Dizziness,Dry cough,Hay fever,Ginger supplements
Diarrhea,Allergic rash,Hangover,Headache,Hydrocortisone cream
Cough,Acid reflux,Headache,Dizziness,Bismuth subsalicylate
Acid reflux,Sinus pressure,Dry skin,Toothache,Moisturizing lotion
Toothache,Dry cough,Heartburn,Nausea,Cold-EEZE
Diarrhea,Runny nose,Headache,Dry skin,Probiotic
Dry cough,Runny nose,Dizziness,Diarrhea,Ginger supplements
Cough,Diarrhea,Dizziness,Runny nose,Loratadine
Heartburn,Diarrhea,Nausea,Dry cough,Honey
Heartburn,Muscle pain,Hay fever,Runny nose,Antihistamine (Benadryl)
Runny nose,Hay fever,Toothache,Dry skin,Hydrocortisone cream
Hay fever,Nausea,Common cold,Dizziness,Loperamide
Toothache,Acid reflux,Cough,Muscle pain,Ibuprofen
Acid reflux,Headache,Sinus pressure,Dizziness,Paracetamol
Nausea,Insomnia,Common cold,Hay fever,Melatonin
Fever,Dry cough,Muscle pain,Dry skin,Honey
Diarrhea,Dry cough,Muscle pain,Toothache,Bismuth subsalicylate
Cough,Acid reflux,Toothache,Allergic rash,Antacid (Rolaids)
Heartburn,Cough,Dry cough,Allergic rash,Antihistamine (Benadryl)
Dry cough,Sinus pressure,Headache,Insomnia,Paracetamol
Dry skin,Runny nose,Dizziness,Diarrhea,Electrolyte solution (Pedialyte)
Sinus pressure,Heartburn,Runny nose,Diarrhea,Ibuprofen
Common cold,Nausea,Dry skin,Headache,Hydrocortisone cream
Diarrhea,Common cold,Allergic rash,Heartburn,Calamine lotion
Muscle pain,Headache,Cough,Dizziness,Pseudoephedrine
Heartburn,Insomnia,Headache,Common cold,Lavender oil
Dizziness,Sinus pressure,Muscle pain,Common cold,Nasal spray (Flonase)
Muscle pain,Common cold,Dizziness,Toothache,Aspirin
Fever,Diarrhea,Heartburn,Dizziness,Probiotic
Fever,Hangover,Insomnia,Toothache,Ibuprofen
Fever,Nausea,Dry skin,Menstrual cramps,Paracetamol
Runny nose,Sinus pressure,Nausea,Muscle pain,Ginger supplements
Hay fever,Dry cough,Runny nose,Dry skin,Loratadine
Sinus pressure,Nausea,Hangover,Common cold,Ginger supplements
Sinus pressure,Hangover,Fever,Runny nose,Aspirin
Allergic rash,Hay fever,Acid reflux,Runny nose,Hydrocortisone cream
Toothache,Muscle pain,Acid reflux,Hay fever,Bismuth subsalicylate
Muscle pain,Diarrhea,Dry cough,Insomnia,Guaifenesin
Sinus pressure,Cough,Dry cough,Hay fever,Antihistamine (Benadryl)
Nausea,Common cold,Headache,Fever,Electrolyte solution (Pedialyte)
Muscle pain,Heartburn,Fever,Toothache,Electrolyte solution (Pedialyte)
Nausea,Menstrual cramps,Diarrhea,Sinus pressure,Bismuth subsalicylate
Runny nose,Heartburn,Nausea,Allergic rash,Ginger supplements
Common cold,Toothache,Nausea,Menstrual cramps,Dimenhydrinate
Toothache,Common cold,Muscle pain,Acid reflux,Antacid (Rolaids)
Dry skin,Toothache,Nausea,Diarrhea,Loperamide
Diarrhea,Heartburn,Nausea,Common cold,Dimenhydrinate
Dry skin,Toothache,Nausea,Headache,Cold-EEZE
Cough,Headache,Allergic rash,Common cold,Antihistamine (Benadryl)
Insomnia,Diarrhea,Sinus pressure,Acid reflux,Ibuprofen
Dry skin,Common cold,Hangover,Cough,Petroleum jelly
Cough,Hangover,Runny nose,Fever,Aspirin
Common cold,Toothache,Diarrhea,Fever,Loperamide
Runny nose,Cough,Insomnia,Diarrhea,Nasal spray (Flonase)
Headache,Hay fever,Muscle pain,Menstrual cramps,Cold-EEZE
Diarrhea,Hay fever,Toothache,Acid reflux,Electrolyte solution (Pedialyte)
Insomnia,Muscle pain,Menstrual cramps,Heartburn,Bismuth subsalicylate
Acid reflux,Nausea,Dry cough,Insomnia,Melatonin
Dry cough,Headache,Heartburn,Diarrhea,Honey
Common cold,Headache,Dizziness,Hay fever,Dimenhydrinate
Insomnia,Dry skin,Headache,Hay fever,Lavender oil
Toothache,Diarrhea,Hangover,Muscle pain,Probiotic
Allergic rash,Runny nose,Dry skin,Heartburn,Hydrocortisone cream
Menstrual cramps,Nausea,Fever,Toothache,Heating pad
Sinus pressure,Diarrhea,Dizziness,Nausea,Loperamide
Headache,Toothache,Diarrhea,Sinus pressure,Cold-EEZE
Diarrhea,Hangover,Dry cough,Sinus pressure,Ginger supplements
Toothache,Muscle pain,Nausea,Allergic rash,Antihistamine (Benadryl)
Cough,Acid reflux,Sinus pressure,Dizziness,Nasal spray (Flonase)
Common cold,Hangover,Dry skin,Dizziness,Petroleum jelly
Dry cough,Cough,Sinus pressure,Insomnia,Diphenhydramine
Hay fever,Heartburn,Dizziness,Sinus pressure,Pseudoephedrine
Hay fever,Hangover,Toothache,Headache,Antihistamine (Claritin)
Muscle pain,Common cold,Insomnia,Menstrual cramps,Guaifenesin
Nausea,Cough,Diarrhea,Toothache,Guaifenesin
Hay fever,Menstrual cramps,Sinus pressure,Dry cough,Saline nasal spray
Common cold,Cough,Toothache,Heartburn,Ibuprofen
Heartburn,Acid reflux,Nausea,Sinus pressure,Dimenhydrinate
Insomnia,Menstrual cramps,Toothache,Hangover,Aspirin
Acid reflux,Hangover,Toothache,Sinus pressure,Electrolyte solution (Pedialyte)
Dizziness,Acid reflux,Dry cough,Sinus pressure,Bismuth subsalicylate
Menstrual cramps,Hangover,Headache,Sinus pressure,Ibuprofen
Runny nose,Dry cough,Acid reflux,Muscle pain,Antacid (Rolaids)
Cough,Hay fever,Hangover,Dry skin,Pseudoephedrine
Insomnia,Hangover,Diarrhea,Nausea,Paracetamol
Dizziness,Toothache,Fever,Allergic rash,Hydrocortisone cream
Runny nose,Cough,Hangover,Heartburn,Paracetamol
Nausea,Dry skin,Muscle pain,Hangover,Ginger supplements
Heartburn,Diarrhea,Headache,Hay fever,Probiotic
Dry cough,Allergic rash,Diarrhea,Nausea,Honey
Hangover,Runny nose,Common cold,Dry skin,Guaifenesin
Sinus pressure,Headache,Dry cough,Insomnia,Ibuprofen
Dry skin,Menstrual cramps,Heartburn,Sinus pressure,Heating pad
Diarrhea,Runny nose,Dizziness,Cough,Ginger supplements
Nausea,Dizziness,Muscle pain,Menstrual cramps,Heating pad
Headache,Dry skin,Sinus pressure,Toothache,Orajel
Cough,Hay fever,Diarrhea,Menstrual cramps,Loperamide
Menstrual cramps,Headache,Sinus pressure,Toothache,Orajel
Heartburn,Allergic rash,Insomnia,Toothache,Antacid (Rolaids)
Dizziness,Muscle pain,Hay fever,Dry skin,Ginger supplements
Hangover,Hay fever,Muscle pain,Allergic rash,Paracetamol
Cough,Common cold,Headache,Insomnia,Valerian root
Sinus pressure,Nausea,Hay fever,Headache,Nasal spray (Flonase)
Hangover,Dry cough,Nausea,Fever,Electrolyte solution (Pedialyte)
Runny nose,Sinus pressure,Insomnia,Heartburn,Proton Pump Inhibitor (Omeprazole)
Muscle pain,Hangover,Hay fever,Dry cough,Ginger supplements
Runny nose,Muscle pain,Heartburn,Insomnia,Lavender oil
Heartburn,Headache,Common cold,Menstrual cramps,Guaifenesin
Heartburn,Acid reflux,Dry skin,Dry cough,Honey
Dry skin,Hangover,Runny nose,Dry cough,Honey
Hay fever,Cough,Dizziness,Acid reflux,Cold-EEZE
Cough,Dry cough,Insomnia,Dizziness,Cold-EEZE
Muscle pain,Dry cough,Dry skin,Sinus pressure,Pseudoephedrine
Dry cough,Acid reflux,Runny nose,Allergic rash,Antihistamine (Benadryl)
Muscle pain,Dry skin,Common cold,Allergic rash,Moisturizing lotion
Toothache,Menstrual cramps,Sinus pressure,Nausea,Dimenhydrinate
Diarrhea,Runny nose,Heartburn,Toothache,Electrolyte solution (Pedialyte)
Diarrhea,Insomnia,Dizziness,Headache,Cold-EEZE
Cough,Toothache,Diarrhea,Acid reflux,Pseudoephedrine
Runny nose,Dizziness,Fever,Diarrhea,Paracetamol
Cough,Heartburn,Fever,Dry cough,Honey
Dry cough,Insomnia,Hay fever,Muscle pain,Dextromethorphan
Runny nose,Hay fever,Hangover,Allergic rash,Aspirin
Dizziness,Diarrhea,Headache,Acid reflux,Loperamide
Headache,Dry cough,Acid reflux,Hay fever,Guaifenesin
Cough,Acid reflux,Sinus pressure,Toothache,Bismuth subsalicylate
Allergic rash,Acid reflux,Insomnia,Sinus pressure,Antacid (Tums)
Headache,Dry cough,Cough,Sinus pressure,Guaifenesin
Dry cough,Dizziness,Muscle pain,Menstrual cramps,Ginkgo biloba
Runny nose,Cough,Nausea,Sinus pressure,Guaifenesin
Toothache,Acid reflux,Hay fever,Heartburn,Antihistamine (Claritin)
Fever,Cough,Acid reflux,Hangover,Antacid (Rolaids)
Allergic rash,Fever,Runny nose,Sinus pressure,Cold-EEZE
Runny nose,Diarrhea,Dizziness,Cough,Loratadine
Common cold,Nausea,Dry skin,Insomnia,Guaifenesin
Headache,Dizziness,Heartburn,Muscle pain,Paracetamol
Allergic rash,Cough,Toothache,Headache,Cold-EEZE
Menstrual cramps,Heartburn,Common cold,Toothache,Antacid (Rolaids)
Insomnia,Heartburn,Nausea,Cough,Dimenhydrinate
Insomnia,Dry cough,Acid reflux,Toothache,Lavender oil
Menstrual cramps,Fever,Common cold,Headache,Ibuprofen
Hangover,Heartburn,Headache,Allergic rash,Calamine lotion
Runny nose,Dry skin,Allergic rash,Hangover,Pseudoephedrine
Common cold,Runny nose,Diarrhea,Muscle pain,Aspirin
Menstrual cramps,Dry skin,Fever,Diarrhea,Petroleum jelly
Headache,Toothache,Heartburn,Dry cough,Antacid (Rolaids)
Heartburn,Common cold,Diarrhea,Dry skin,Aloe vera gel
Toothache,Fever,Diarrhea,Cough,Cold-EEZE
Nausea,Heartburn,Hangover,Diarrhea,Paracetamol
Insomnia,Nausea,Dry cough,Sinus pressure,Electrolyte solution (Pedialyte)
Menstrual cramps,Runny nose,Acid reflux,Nausea,Dimenhydrinate
Dry skin,Hangover,Headache,Muscle pain,Petroleum jelly
Toothache,Cough,Menstrual cramps,Nausea,Pseudoephedrine
Hay fever,Runny nose,Menstrual cramps,Dizziness,Ginger supplements
Dizziness,Common cold,Acid reflux,Headache,Ibuprofen
Hay fever,Nausea,Dizziness,Common cold,Loratadine
Diarrhea,Allergic rash,Nausea,Cough,Calamine lotion
Runny nose,Menstrual cramps,Allergic rash,Nausea,Nasal spray (Flonase)
Muscle pain,Toothache,Allergic rash,Dizziness,Antihistamine (Benadryl)
Acid reflux,Menstrual cramps,Common cold,Hangover,Cold-EEZE
Common cold,Nausea,Headache,Toothache,Ginger supplements
Runny nose,Common cold,Dry cough,Dry skin,Moisturizing lotion
Heartburn,Common cold,Cough,Nausea,Dimenhydrinate
Dry skin,Hangover,Insomnia,Cough,Hydrocortisone cream
Common cold,Toothache,Dry skin,Sinus pressure,Guaifenesin
Dry cough,Common cold,Allergic rash,Fever,Antihistamine (Benadryl)
Toothache,Diarrhea,Cough,Nausea,Bismuth subsalicylate
Heartburn,Diarrhea,Dry cough,Insomnia,Antacid (Rolaids)
Nausea,Common cold,Acid reflux,Dizziness,Ginger supplements
Hay fever,Toothache,Muscle pain,Cough,Guaifenesin
Acid reflux,Toothache,Diarrhea,Hangover,Loperamide
Toothache,Muscle pain,Fever,Insomnia,Lavender oil
Acid reflux,Nausea,Fever,Sinus pressure,Paracetamol
Headache,Insomnia,Hay fever,Nausea,Aspirin
Toothache,Dry cough,Dizziness,Hangover,Paracetamol
Nausea,Hangover,Common cold,Runny nose,Cold-EEZE
Headache,Fever,Hay fever,Sinus pressure,Cold-EEZE
Muscle pain,Diarrhea,Allergic rash,Toothache,Probiotic
Fever,Allergic rash,Toothache,Diarrhea,Antihistamine (Benadryl)
Hay fever,Dizziness,Dry skin,Headache,Cold-EEZE
Dry cough,Menstrual cramps,Allergic rash,Dizziness,Hydrocortisone cream
Menstrual cramps,Dry cough,Runny nose,Fever,Electrolyte solution (Pedialyte)
Dry cough,Muscle pain,Dry skin,Common cold,Aloe vera gel
Toothache,Sinus pressure,Insomnia,Allergic rash,Ibuprofen
Dry skin,Dry cough,Acid reflux,Heartburn,Antacid (Rolaids)
Muscle pain,Diarrhea,Sinus pressure,Toothache,Loperamide
Allergic rash,Nausea,Dizziness,Fever,Ginger supplements
Allergic rash,Fever,Cough,Dry cough,Paracetamol
Fever,Muscle pain,Diarrhea,Toothache,Cold-EEZE
Common cold,Muscle pain,Dizziness,Sinus pressure,Pseudoephedrine
Fever,Sinus pressure,Allergic rash,Muscle pain,Paracetamol
Runny nose,Muscle pain,Nausea,Headache,Dimenhydrinate
Dry skin,Hay fever,Nausea,Insomnia,Diphenhydramine
Allergic rash,Diarrhea,Fever,Dry cough,Hydrocortisone cream
Common cold,Hangover,Nausea,Muscle pain,Loperamide
Hay fever,Fever,Allergic rash,Common cold,Antihistamine (Claritin)
Fever,Heartburn,Dry cough,Cough,Paracetamol
Diarrhea,Headache,Hangover,Hay fever,Loratadine
Menstrual cramps,Heartburn,Dry cough,Muscle pain,Proton Pump Inhibitor (Omeprazole)
Sinus pressure,Toothache,Acid reflux,Hangover,Orajel
Diarrhea,Dizziness,Hangover,Muscle pain,Electrolyte solution (Pedialyte)
Menstrual cramps,Common cold,Headache,Muscle pain,Cold-EEZE
Headache,Toothache,Dizziness,Fever,Ginkgo biloba
Runny nose,Fever,Nausea,Hay fever,Dimenhydrinate
Headache,Dizziness,Nausea,Dry skin,Hydrocortisone cream
Insomnia,Toothache,Nausea,Hangover,Valerian root
Diarrhea,Toothache,Runny nose,Menstrual cramps,Aspirin
Runny nose,Menstrual cramps,Common cold,Acid reflux,Bismuth subsalicylate
Common cold,Fever,Diarrhea,Dry skin,Aloe vera gel
Muscle pain,Sinus pressure,Runny nose,Cough,Loratadine
Heartburn,Diarrhea,Dry skin,Sinus pressure,Nasal spray (Flonase)
Menstrual cramps,Muscle pain,Dizziness,Nausea,Ibuprofen
Diarrhea,Dry cough,Nausea,Hangover,Paracetamol
Muscle pain,Dry cough,Runny nose,Dry skin,Ibuprofen
Hay fever,Cough,Common cold,Nausea,Loperamide
Muscle pain,Common cold,Acid reflux,Sinus pressure,Guaifenesin
Muscle pain,Menstrual cramps,Diarrhea,Heartburn,Aspirin
Fever,Dizziness,Runny nose,Heartburn,Ginkgo biloba
Heartburn,Runny nose,Dry cough,Sinus pressure,Bismuth subsalicylate
Allergic rash,Runny nose,Heartburn,Headache,Proton Pump Inhibitor (Omeprazole)
Hangover,Heartburn,Dry skin,Headache,Aspirin
Menstrual cramps,Muscle pain,Insomnia,Hay fever,Ibuprofen
Diarrhea,Insomnia,Headache,Dry cough,Lavender oil
Dizziness,Fever,Menstrual cramps,Hangover,Ibuprofen
Headache,Dizziness,Acid reflux,Toothache,Cold-EEZE
Dry skin,Muscle pain,Diarrhea,Dizziness,Electrolyte solution (Pedialyte)
Nausea,Insomnia,Fever,Sinus pressure,Melatonin
Dry skin,Muscle pain,Diarrhea,Fever,Probiotic
Menstrual cramps,Heartburn,Fever,Insomnia,Proton Pump Inhibitor (Omeprazole)
Runny nose,Muscle pain,Headache,Dry cough,Guaifenesin
Dizziness,Heartburn,Hay fever,Acid reflux,Nasal spray (Flonase)
Headache,Dry skin,Dry cough,Dizziness,Aloe vera gel
Menstrual cramps,Cough,Runny nose,Dry cough,Dextromethorphan
Dry cough,Insomnia,Diarrhea,Toothache,Ibuprofen
Dry cough,Fever,Hangover,Diarrhea,Dextromethorphan
Dizziness,Acid reflux,Cough,Hangover,Aspirin
Dry skin,Muscle pain,Runny nose,Acid reflux,Moisturizing lotion
Fever,Headache,Hay fever,Runny nose,Aspirin
Hangover,Runny nose,Fever,Common cold,Ginger supplements
Dry skin,Sinus pressure,Runny nose,Toothache,Aspirin
Hay fever,Allergic rash,Menstrual cramps,Muscle pain,Antihistamine (Benadryl)
Hangover,Dizziness,Cough,Acid reflux,Ginkgo biloba
Menstrual cramps,Hay fever,Dry cough,Common cold,Honey
Sinus pressure,Headache,Muscle pain,Dizziness,Cold-EEZE
Muscle pain,Insomnia,Headache,Sinus pressure,Paracetamol
Common cold,Diarrhea,Dizziness,Runny nose,Cold-EEZE
Dizziness,Cough,Dry cough,Acid reflux,Pseudoephedrine
Diarrhea,Heartburn,Dry cough,Headache,Aspirin
Allergic rash,Menstrual cramps,Nausea,Dry cough,Antihistamine (Benadryl)
Dry cough,Runny nose,Insomnia,Diarrhea,Bismuth subsalicylate
Heartburn,Menstrual cramps,Headache,Hay fever,Heating pad
Headache,Muscle pain,Acid reflux,Insomnia,Diphenhydramine
Dizziness,Acid reflux,Diarrhea,Muscle pain,Antacid (Rolaids)
Diarrhea,Dry cough,Muscle pain,Fever,Cold-EEZE
Hangover,Runny nose,Nausea,Insomnia,Loratadine
Heartburn,Hangover,Nausea,Toothache,Bismuth subsalicylate
Dry skin,Fever,Sinus pressure,Heartburn,Hydrocortisone cream
Dry skin,Muscle pain,Menstrual cramps,Headache,Moisturizing lotion
Toothache,Sinus pressure,Runny nose,Allergic rash,Cold-EEZE
Hay fever,Headache,Sinus pressure,Hangover,Saline nasal spray
Cough,Heartburn,Dizziness,Insomnia,Diphenhydramine
Diarrhea,Sinus pressure,Toothache,Fever,Probiotic
Menstrual cramps,Dry cough,Diarrhea,Fever,Aspirin
Nausea,Sinus pressure,Hay fever,Hangover,Electrolyte solution (Pedialyte)
Insomnia,Common cold,Dizziness,Hay fever,Guaifenesin
Heartburn,Cough,Hay fever,Dizziness,Antacid (Tums)
Menstrual cramps,Sinus pressure,Dry skin,Toothache,Orajel
Fever,Nausea,Hangover,Sinus pressure,Electrolyte solution (Pedialyte)
Menstrual cramps,Dry cough,Common cold,Runny nose,Honey
Runny nose,Cough,Common cold,Dry skin,Petroleum jelly
Nausea,Acid reflux,Menstrual cramps,Dry skin,Heating pad
Menstrual cramps,Allergic rash,Runny nose,Hay fever,Nasal spray (Flonase)
Runny nose,Toothache,Menstrual cramps,Allergic rash,Pseudoephedrine
Sinus pressure,Dizziness,Dry cough,Common cold,Dimenhydrinate
Insomnia,Muscle pain,Fever,Diarrhea,Probiotic
Menstrual cramps,Common cold,Diarrhea,Toothache,Orajel
Menstrual cramps,Common cold,Allergic rash,Fever,Paracetamol
Diarrhea,Cough,Sinus pressure,Fever,Guaifenesin
Common cold,Cough,Acid reflux,Runny nose,Dextromethorphan
Dizziness,Insomnia,Common cold,Diarrhea,Cold-EEZE
Dry cough,Heartburn,Muscle pain,Headache,Antacid (Tums)
Common cold,Allergic rash,Diarrhea,Hangover,Calamine lotion
Headache,Dry skin,Nausea,Hay fever,Ginger supplements
Muscle pain,Allergic rash,Toothache,Sinus pressure,Ibuprofen
Muscle pain,Diarrhea,Nausea,Hangover,Probiotic
Dry cough,Hangover,Nausea,Runny nose,Aspirin
Sinus pressure,Dry skin,Acid reflux,Dry cough,Saline nasal spray
Fever,Allergic rash,Runny nose,Diarrhea,Bismuth subsalicylate
Heartburn,Diarrhea,Sinus pressure,Toothache,Pseudoephedrine
Toothache,Allergic rash,Dry cough,Dry skin,Honey
Hangover,Headache,Sinus pressure,Runny nose,Electrolyte solution (Pedialyte)
Dizziness,Heartburn,Allergic rash,Headache,Electrolyte solution (Pedialyte)
